LAMMPS data file via write_data, version 7 Aug 2019, timestep = 0

3912 atoms
11 atom types
384 bonds
2 bond types

-1.0316426000000000e-02 6.2149683573999994e+01 xlo xhi
-5.9398249700000005e-01 3.5326017503000003e+01 ylo yhi
-1.3241855739999999e+00 1.7875814425999998e+01 zlo zhi

Masses

1 26.9815
2 24.305
3 28.0855
4 15.9994
5 15.9994
6 15.9994
7 15.9994
8 1.00797
9 15.9994
10 26.9815
11 22.99

Pair Coeffs # lj/cut/coul/long

1 1.3297e-06 4.27132
2 9.03e-07 5.26433
3 1.8402e-06 3.30196
4 0.155416 3.16552
5 0.155416 3.16552
6 0.155416 3.16552
7 0.155416 3.16552
8 0 0
9 0.155416 3.16552
10 1.8402e-06 3.30196
11 0.1301 2.35001

Bond Coeffs # harmonic

1 554.135 1
2 554.135 1

Atoms # full

3 1 1 1.5750000000000000e+00 1.9440539999999999e+00 7.4803400000000000e+00 3.3210000000000002e+00 0 0 0
4 1 1 1.5750000000000000e+00 1.9440539999999999e+00 1.4996600000000000e+00 3.3210000000000002e+00 0 0 0
5 1 3 2.0999935483869998e+00 2.8945840000000000e+00 2.9544199999999998e+00 6.4500000000000002e-01 0 0 0
6 1 3 2.0999935483869998e+00 2.8945840000000000e+00 6.0255799999999997e+00 6.4500000000000002e-01 0 0 0
9 1 3 2.0999935483869998e+00 3.0458400000000002e-01 7.4444200000000000e+00 6.4500000000000002e-01 0 0 0
10 1 3 2.0999935483869998e+00 3.0458400000000002e-01 1.5355799999999999e+00 6.4500000000000002e-01 0 0 0
13 1 4 -1.0500000000000000e+00 2.6594120000000001e+00 4.4900000000000002e+00 1.4849999999999999e-01 0 0 0
16 1 5 -9.4999999999999996e-01 2.5661719999999999e+00 0.0000000000000000e+00 2.2799999999999998e+00 0 0 0
17 1 6 -1.1808000000000001e+00 2.9432760000000000e+00 6.2051800000000004e+00 2.2305000000000001e+00 0 0 0
18 1 4 -1.0500000000000000e+00 2.9639959999999999e+00 2.7748200000000001e+00 2.2305000000000001e+00 0 0 0
25 1 4 -1.0500000000000000e+00 6.9412000000000001e-02 0.0000000000000000e+00 1.4849999999999999e-01 0 0 0
26 1 4 -1.0500000000000000e+00 1.6990400000000001e+00 2.0474399999999999e+00 0.0000000000000000e+00 0 0 0
27 1 4 -1.0500000000000000e+00 1.6990400000000001e+00 6.9325599999999996e+00 0.0000000000000000e+00 0 0 0
29 1 4 -1.0500000000000000e+00 3.5327599999999998e-01 1.7151799999999999e+00 2.2305000000000001e+00 0 0 0
30 1 4 -1.0500000000000000e+00 3.7399600000000000e-01 7.2648200000000003e+00 2.2305000000000001e+00 0 0 0
37 1 8 4.2499999999999999e-01 2.1961723740000001e+00 7.4000010100000002e-01 3.0200001009999999e+00 0 0 0
1959 13 1 1.5750000000000000e+00 1.9440539999999999e+00 7.4803400000000000e+00 1.2920999999999999e+01 0 0 0
1960 13 1 1.5750000000000000e+00 1.9440539999999999e+00 1.4996600000000000e+00 1.2920999999999999e+01 0 0 0
1961 13 3 2.0999935483869998e+00 2.8945840000000000e+00 2.9544199999999998e+00 1.0244999999999999e+01 0 0 0
1962 13 3 2.0999935483869998e+00 2.8945840000000000e+00 6.0255799999999997e+00 1.0244999999999999e+01 0 0 0
1965 13 3 2.0999935483869998e+00 3.0458400000000002e-01 7.4444200000000000e+00 1.0244999999999999e+01 0 0 0
1966 13 3 2.0999935483869998e+00 3.0458400000000002e-01 1.5355799999999999e+00 1.0244999999999999e+01 0 0 0
1969 13 4 -1.0500000000000000e+00 2.6594120000000001e+00 4.4900000000000002e+00 9.7484999999999999e+00 0 0 0
1972 13 5 -9.4999999999999996e-01 2.5661719999999999e+00 0.0000000000000000e+00 1.1879999999999999e+01 0 0 0
1973 13 6 -1.1808000000000001e+00 2.9432760000000000e+00 6.2051800000000004e+00 1.1830500000000001e+01 0 0 0
1974 13 4 -1.0500000000000000e+00 2.9639959999999999e+00 2.7748200000000001e+00 1.1830500000000001e+01 0 0 0
1981 13 4 -1.0500000000000000e+00 6.9412000000000001e-02 0.0000000000000000e+00 9.7484999999999999e+00 0 0 0
1982 13 4 -1.0500000000000000e+00 1.6990400000000001e+00 2.0474399999999999e+00 9.5999999999999996e+00 0 0 0
1983 13 4 -1.0500000000000000e+00 1.6990400000000001e+00 6.9325599999999996e+00 9.5999999999999996e+00 0 0 0
1985 13 4 -1.0500000000000000e+00 3.5327599999999998e-01 1.7151799999999999e+00 1.1830500000000001e+01 0 0 0
1986 13 4 -1.0500000000000000e+00 3.7399600000000000e-01 7.2648200000000003e+00 1.1830500000000001e+01 0 0 0
1993 13 8 4.2499999999999999e-01 2.1961723740000001e+00 7.4000010100000002e-01 1.2620000100999999e+01 0 0 0
492 4 1 1.5750000000000000e+00 1.9440539999999999e+00 1.6460340000000002e+01 3.3210000000000002e+00 0 0 0
493 4 1 1.5750000000000000e+00 1.9440539999999999e+00 1.0479660000000001e+01 3.3210000000000002e+00 0 0 0
494 4 3 2.0999935483869998e+00 2.8945840000000000e+00 1.1934419999999999e+01 6.4500000000000002e-01 0 0 0
495 4 3 2.0999935483869998e+00 2.8945840000000000e+00 1.5005580000000000e+01 6.4500000000000002e-01 0 0 0
498 4 3 2.0999935483869998e+00 3.0458400000000002e-01 1.6424420000000001e+01 6.4500000000000002e-01 0 0 0
499 4 3 2.0999935483869998e+00 3.0458400000000002e-01 1.0515580000000000e+01 6.4500000000000002e-01 0 0 0
502 4 4 -1.0500000000000000e+00 2.6594120000000001e+00 1.3470000000000001e+01 1.4849999999999999e-01 0 0 0
505 4 5 -9.4999999999999996e-01 2.5661719999999999e+00 8.9800000000000004e+00 2.2799999999999998e+00 0 0 0
506 4 6 -1.1808000000000001e+00 2.9432760000000000e+00 1.5185180000000001e+01 2.2305000000000001e+00 0 0 0
507 4 4 -1.0500000000000000e+00 2.9639959999999999e+00 1.1754820000000000e+01 2.2305000000000001e+00 0 0 0
514 4 4 -1.0500000000000000e+00 6.9412000000000001e-02 8.9800000000000004e+00 1.4849999999999999e-01 0 0 0
515 4 4 -1.0500000000000000e+00 1.6990400000000001e+00 1.1027440000000000e+01 0.0000000000000000e+00 0 0 0
516 4 4 -1.0500000000000000e+00 1.6990400000000001e+00 1.5912559999999999e+01 0.0000000000000000e+00 0 0 0
518 4 4 -1.0500000000000000e+00 3.5327599999999998e-01 1.0695180000000001e+01 2.2305000000000001e+00 0 0 0
519 4 4 -1.0500000000000000e+00 3.7399600000000000e-01 1.6244820000000001e+01 2.2305000000000001e+00 0 0 0
526 4 8 4.2499999999999999e-01 2.1961723740000001e+00 9.7200001010000001e+00 3.0200001009999999e+00 0 0 0
2448 16 1 1.5750000000000000e+00 1.9440539999999999e+00 1.6460340000000002e+01 1.2920999999999999e+01 0 0 0
2449 16 1 1.5750000000000000e+00 1.9440539999999999e+00 1.0479660000000001e+01 1.2920999999999999e+01 0 0 0
2450 16 3 2.0999935483869998e+00 2.8945840000000000e+00 1.1934419999999999e+01 1.0244999999999999e+01 0 0 0
2451 16 3 2.0999935483869998e+00 2.8945840000000000e+00 1.5005580000000000e+01 1.0244999999999999e+01 0 0 0
